    #,       tth,  Seconds,  Monitor, Detector,     dead,       i1,       i2,       i3,       i4,   normlz,    Foils,     TEMP,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,  keith_I,  keith_V,    CTEMP,    Timer,  tempsec,     pd17,     pd18, agi34410,  agidaq1,  agidaq2,  agidaq3,  agidaq4,   CTEMPB
    0,         5,   1.0000,  0.14925,        0,        0,    4e-05,  0.00032,        0,        0,        0,        0,        0,  3296451,       15,      162,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    1,      5.75,   1.0000,  0.14946,        0,        0,    4e-05,   0.0003,        0,        0,        0,        0,        0,  3340013,       14,      147,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    2,       6.5,   1.0000,  0.14967,        0,        0,    2e-05,  0.00032,        0,        0,        0,        0,        0,  3382504,       14,      136,       18,       18,       18,       18,       18,       18,       18,       18,       18,       18,       18,       18,       18,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    3,      7.25,   1.0000,  0.15079,        0,        0,    5e-05,  0.00033,        0,        0,        0,        0,        0,  3560909,       20,      126,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    4,         8,   1.0000,  0.15097,        0,        0,    4e-05,  0.00033,        0,        0,        0,        0,        0,  4123091,       12,      133,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    5,      8.75,   1.0000,   0.1512,        0,        0,    4e-05,  0.00032,        0,        0,        0,        0,        0,  4413322,       26,      153,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    6,       9.5,   1.0000,  0.15118,        0,        0,    2e-05,  0.00032,        0,        0,        0,        0,        0,  4633028,       14,      124,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    7,     10.25,   1.0000,  0.15114,        0,        0,    1e-05,  0.00034,        0,        0,        0,        0,        0,  5885691,       16,      166,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    8,        11,   1.0000,  0.15098,        0,        0,        0,  0.00032,        0,        0,        0,        0,        0,  7357539,       11,      153,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    9,     11.75,   1.0000,  0.15153,        0,        0,    1e-05,  0.00033,        0,        0,        0,        0,        0,  8395334,       15,      171,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   10,      12.5,   1.0000,  0.15089,        0,        0,    2e-05,  0.00035,        0,        0,        0,        0,        0,  6233129,        7,      128,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   11,     13.25,   1.0000,  0.15156,        0,        0,    2e-05,  0.00038,        0,        0,        0,        0,        0,  3861731,       11,      135,       27,       27,       27,       27,       27,       27,       27,       27,       27,       27,       27,       27,       27,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   12,        14,   1.0000,  0.15086,        0,        0,        0,  0.00038,        0,        0,        0,        0,        0,  3593699,       11,      120,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   13,     14.75,   1.0000,  0.15069,        0,        0,    1e-05,  0.00037,        0,        0,        0,        0,        0,  4436248,        7,      124,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   14,      15.5,   1.0000,  0.15112,        0,        0,    1e-05,  0.00036,        0,        0,        0,        0,        0,  6062915,        6,      125,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   15,     16.25,   1.0000,   0.1514,        0,        0,    2e-05,  0.00039,        0,        0,        0,        0,        0, 11965931,       11,      115,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   16,        17,   1.0000,  0.15144,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0, 14140980,       11,      103,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   17,     17.75,   1.0000,  0.15135,        0,        0,    3e-05,  0.00037,        0,        0,        0,        0,        0, 11012605,        9,       90,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   18,      18.5,   1.0000,  0.15202,        0,        0,    1e-05,  0.00037,        0,        0,        0,        0,        0,  2584188,        5,       90,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   19,     19.25,   1.0000,  0.15223,        0,        0,    3e-05,  0.00039,        0,        0,        0,        0,        0,  3207964,        4,       73,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   20,        20,   1.0000,  0.15196,        0,        0,    1e-05,  0.00037,        0,        0,        0,        0,        0,  6943838,        3,       74,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   21,     20.75,   1.0000,  0.15218,        0,        0,    1e-05,  0.00037,        0,        0,        0,        0,        0,  8723295,        8,       97,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   22,      21.5,   1.0000,  0.15206,        0,        0,    1e-05,  0.00037,        0,        0,        0,        0,        0,  7872510,        4,       83,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   23,     22.25,   1.0000,  0.15221,        0,        0,    2e-05,  0.00039,        0,        0,        0,        0,        0,  3662266,        7,       66,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   24,        23,   1.0000,   0.1521,        0,        0,    2e-05,  0.00037,        0,        0,        0,        0,        0,  2850978,        5,       57,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   25,     23.75,   1.0000,  0.15216,        0,        0,    1e-05,  0.00037,        0,        0,        0,        0,        0,  5436326,        8,       57,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   26,      24.5,   1.0000,   0.1521,        0,        0,    1e-05,  0.00038,        0,        0,        0,        0,        0,  4994823,       17,      240,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   27,     25.25,   1.0000,  0.15207,        0,        0,    2e-05,  0.00039,        0,        0,        0,        0,        0,  5187733,        8,       71,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   28,        26,   1.0000,  0.15198,        0,        0,    2e-05,  0.00037,        0,        0,        0,        0,        0,  4180298,        8,       64,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   29,     26.75,   1.0000,   0.1518,        0,        0,    1e-05,  0.00036,        0,        0,        0,        0,        0,  9641120,        2,       48,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   30,      27.5,   1.0000,  0.15201,        0,        0,    1e-05,  0.00037,        0,        0,        0,        0,        0,  8138893,      126,     1712,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   31,     28.25,   1.0000,  0.15202,        0,        0,    1e-05,  0.00038,        0,        0,        0,        0,        0,  6438361,        4,       67,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   32,        29,   1.0000,   0.1521,        0,        0,    1e-05,  0.00036,        0,        0,        0,        0,        0,  3207334,        2,       53,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   33,     29.75,   1.0000,  0.15116,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  5333479,        3,       63,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   34,      30.5,   1.0000,  0.15166,        0,        0,    1e-05,  0.00038,        0,        0,        0,        0,        0,  4775874,       10,       73,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   35,     31.25,   1.0000,  0.15162,        0,        0,    1e-05,  0.00038,        0,        0,        0,        0,        0,  2388423,        1,       64,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   36,        32,   1.0000,  0.15168,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  1233840,        4,       50,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   37,     32.75,   1.0000,  0.15179,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  1223392,        4,       54,       19,       19,       19,       19,       19,       19,       19,       19,       19,       19,       19,       19,       19,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   38,      33.5,   1.0000,   0.1522,        0,        0,        0,  0.00038,        0,        0,        0,        0,        0,  1477369,        5,       51,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   39,     34.25,   1.0000,   0.1517,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  3136464,        3,       58,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   40,        35,   1.0000,   0.1522,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  3176912,       19,      273,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   41,     35.75,   1.0000,   0.1521,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  3848731,        6,       56,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   42,      36.5,   1.0000,  0.15228,        0,        0,        0,  0.00039,        0,        0,        0,        0,        0,  6423037,        4,       49,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   43,     37.25,   1.0000,  0.15178,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  6394189,      712,     3777,       40,       40,       40,       40,       40,       40,       40,       40,       40,       40,       40,       40,       40,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   44,        38,   1.0000,   0.1521,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  6700555,        5,       55,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   45,     38.75,   1.0000,  0.15196,        0,        0,        0,  0.00038,        0,        0,        0,        0,        0,  5984480,        9,       54,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   46,      39.5,   1.0000,  0.15214,        0,        0,        0,  0.00039,        0,        0,        0,        0,        0,  6098098,       10,       59,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   47,     40.25,   1.0000,  0.15179,        0,        0,        0,  0.00038,        0,        0,        0,        0,        0,  5137148,        5,       60,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   48,        41,   1.0000,  0.15206,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  3837898,        3,       54,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   49,     41.75,   1.0000,    0.152,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  3492411,        6,       46,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   50,      42.5,   1.0000,  0.15239,        0,        0,        0,   0.0004,        0,        0,        0,        0,        0,  1673543,        6,       59,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   51,     43.25,   1.0000,  0.15185,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  1635916,       15,      186,       37,       37,       37,       37,       37,       37,       37,       37,       37,       37,       37,       37,       37,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   52,        44,   1.0000,  0.15198,        0,        0,        0,  0.00036,        0,        0,        0,        0,        0,  2362283,        4,       51,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   53,     44.75,   1.0000,  0.15128,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  2712942,        5,       63,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   54,      45.5,   1.0000,  0.15173,        0,        0,        0,  0.00038,        0,        0,        0,        0,        0,  3117435,        0,       53,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   55,     46.25,   1.0000,  0.15205,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  4045256,        4,       49,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   56,        47,   1.0000,  0.15215,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0,  3978246,       10,      105,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   57,     47.75,   1.0000,  0.15184,        0,        0,        0,  0.00036,        0,        0,        0,        0,        0,  3164239,        5,       50,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   58,      48.5,   1.0000,   0.1522,        0,        0,        0,  0.00039,        0,        0,        0,        0,        0,  1186636,       10,       52,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   59,     49.25,   1.0000,  0.15196,        0,        0,        0,  0.00036,        0,        0,        0,        0,        0,  1938151,        6,       44,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   60,        50,   1.0000,  0.15172,        0,        0,        0,  0.00036,        0,        0,        0,        0,        0,  2183956,        6,       49,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
